friend,count
1148680243210805249,1
704662066418860032,1
1108005809664000000,1
32688098,1
1093544776195080192,1
2499386443,1
3255433005,1
1207994113813028864,1
229409766,1
3094955255,1
491404673,1
1220885945639227398,1
413371217,1
83392814,1
1002236654667665413,1
400930646,1
737910326621003776,1
1056869977561677826,1
2558800670,1
49600796,1
437322612,1
842853644865323008,1
1085788962768199680,1
811705563709050880,1
966650324231557120,1
868899589763584000,1
1732609260,1
936328752979759104,1
1078445942406373377,1
769532284034768897,1
1524023516,1
888722671898329088,1
338299807,1
20270816,1
873277562616766466,1
811595482216726528,1
1067448945717248000,1
874536588474073088,2
898380506,1
64764487,1
2151443487,1
1077373819600302080,1
544161006,1
368324788,1
182573602,1
701625216,1
896472664575025153,1
1020141193,1
1184475467622973449,2
870580651,1
1006206846,1
1510593126,1
3403235813,1
829695314110062595,1
700770819375501314,1
850426907049037826,1
2207476240,1
554141605,1
957259875276541954,1
326901553,1
1097420249824182272,1
846063194829402115,1
1361028572,1
1005409856545804288,1
865242837700530176,1
923178000463437829,1
55520972,1
423329902,1
14881608,1
23935889,1
848328920688730112,1
4881141844,1
1164827657684410369,1
1089826119363235841,1
718251369,1
2973228898,1
1170285906680569857,1
723240826042748930,1
1016265237589348352,1
875477544555991040,1
1059446163072532481,1
2402226671,1
999407694107828224,1
1543429526,1
247417063,1
889924337444245504,1
590785921,1
2636839856,1
468326912,1
23543947,1
24153801,1
1595364392,1
1174288816372441091,1
1159762722629849089,1
1032922327741358080,1
4092240208,1
2196943817,1
157456475,1
1088313509128085504,1
841682353554636800,1
4385709677,1
189896799,1
1154890258624000000,1
4234052313,1
49353697,1
1128236762004951041,1
1129256563817029632,1
614703722,1
1151507736565170177,1
738485837642502146,1
4051595175,1
1121729019786010624,1
341615886,1
1094629395648659456,1
957565916065222658,1
2664411964,1
1562866206,1
4545226455,1
998892451837501440,1
15144184,1
552671564,1
3409047327,1
1351751970,1
992044545658556416,1
1082684106561994752,1
424089260,1
2921825591,1
1169510974115762176,1
104395831,1
311604718,1
787343943486828544,1
1122973611361435649,1
867660742765531137,1
998650295541489664,1
868255763650809856,1
918885747855413252,1
156592468,1
21845792,1
486012237,1
1169222084742000640,1
1125877919136604160,1
711225775408750592,1
847130177838764033,1
3348988403,1
1117573824,1
1082692112989282304,1
256870955,1
1341333589,1
1066023701911605248,1
173467615,1
329065650,1
28204769,2
1157761535248351232,1
977886340833476608,1
709374846229200896,1
1088495447042338821,1
948683497,1
1151735347300261894,1
1154347981635805187,1
155519209,1
58433159,1
