friend,count
377225982,1
342154069,1
41092540,1
337785212,1
415786455,1
90008911,1
7461682,1
1048408027,1
527581293,1
521636753,1
68642802,1
91136302,1
16186995,4
1376457230,1
46091453,1
859513794,1
560625915,1
42378378,1
416410405,1
592152664,1
179993202,1
391420301,1
249625974,1
63815012,1
380800985,1
196662742,1
347808673,1
545261571,1
150238190,1
301371489,1
868890019,1
134196350,3
425099376,1
70440067,1
524122050,1
560961651,1
581122909,1
1282962672,1
176762090,1
349929075,1
606653905,1
360561258,1
599502137,1
120456139,1
464659729,1
464899573,1
498222624,1
86800958,1
522228618,1
19643036,1
329545037,1
491454099,1
428901933,1
703262156,1
89022083,1
334206728,1
1078088689,1
25711336,1
377144818,1
407877893,1
85269354,1
1163741546,1
24040408,1
49578092,1
37893516,1
39509633,1
10160082,1
16713056,1
71288325,1
47313226,1
541666042,1
19113401,1
42362973,1
20947432,1
365962409,1
212238298,1
50662368,1
28770410,1
235727424,1
391948994,1
16317752,1
414089880,1
380874224,1
223092268,1
365551498,1
332456722,1
8850122,1
18601054,1
421450220,1
40673488,1
129404394,1
100310280,1
487325007,1
34545523,1
88897822,1
437390954,1
523882862,1
102370999,1
297296047,1
453931879,1
44965477,1
308223970,1
465401367,1
223620203,1
66790325,1
196994616,1
1057762285,1
10736712,1
382766644,1
143500805,1
274369599,1
56988119,1
365699021,1
365934155,1
26724906,1
47282797,1
190402071,1
151417750,1
144442429,1
133401457,1
190800922,1
422845037,1
492089060,1
164453986,1
40327219,1
213698628,1
151094863,1
123010053,1
41562753,1
361117805,1
20372013,1
142629644,1
85764620,1
958440037,1
899586266,1
793552591,1
14376184,1
28293719,1
189339875,1
406534065,1
395434136,1
871990712,1
63434785,1
54900462,1
274966260,1
95247466,1
333480846,1
340471687,1
196161947,1
19604203,1
357550034,1
255971273,1
56966789,1
8143682,1
372345044,1
222449228,1
63786009,1
10041662,1
255950849,1
56333710,1
104461200,1
265318690,1
246705141,1
354426765,1
15536991,1
136971862,1
21584168,1
441195578,1
15345250,1
230995385,1
126907973,1
210367506,1
15610812,1
461888983,1
133688081,1
13151272,1
10465362,1
27005782,1
56138208,1
233885863,1
22629407,1
418913111,1
60552882,1
227748174,1
38722013,1
300178288,1
81105489,1
31153558,1
112848494,1
75079616,1
16079800,1
311693285,1
87470507,1
93687489,1
66947052,1
317788513,1
115065422,1
28535217,1
20624159,1
37926623,1
196549693,1
422562372,1
24946594,1
222174826,1
15577496,1
4385701,1
58423496,1
196544371,1
239350152,1
282651489,1
36152235,1
264084750,1
404742410,1
44397583,1
45615616,1
327357149,1
67685046,1
749303946,1
17448084,1
29545820,1
272544746,1
74090058,1
38405701,1
93150048,1
138637796,1
16269995,1
50599867,1
319184974,1
7366322,1
101745754,1
101756342,1
39535227,1
97929749,1
56135132,1
60083282,1
627692113,1
200968852,1
19653137,1
87919697,1
420392941,1
261114168,1
87709984,1
43401377,1
438208585,1
26730987,1
70110322,1
77820895,1
52132562,1
72511025,1
95078906,1
42603671,1
21659770,1
29156440,1
15735660,1
112452569,1
17556059,1
2478611,1
26833426,1
237044370,1
33966423,1
81337667,1
38510603,1
298712385,1
194307685,1
15598626,1
50272166,1
510666380,1
257837083,1
90861253,1
15595963,1
96579314,1
17894288,1
38660283,1
609184692,1
607213773,1
408373616,1
298543498,1
258416364,1
190283706,1
55186253,1
182970414,1
16141715,1
17101552,1
249229184,1
289894252,1
58909815,1
57324270,1
19708946,1
457789984,1
493281374,1
493987625,1
69827637,2
415092029,1
340272306,1
137399659,1
87979407,1
204026155,1
167335006,1
11663532,1
42969488,1
27042524,1
245827240,1
64796478,1
14089542,1
25895853,1
228463661,1
68685380,1
361723101,1
227438195,1
257072385,1
14824064,1
242847455,1
351795255,1
229066670,1
266857928,1
26823392,1
234405898,1
236007471,1
16864854,1
108325034,1
14407467,1
75863931,1
2278321,1
16419932,1
345859631,1
115982580,1
407018135,1
391952439,1
495855573,1
269809420,1
92733517,1
14310920,1
288471451,1
149458183,1
15863895,1
167804814,1
59842566,1
15262200,1
457664150,1
154588112,1
420587740,1
332711110,1
45842829,1
24211487,1
282466134,1
415394417,1
158800005,1
20672551,1
15464995,1
16613135,1
108939449,1
33884193,1
18343046,1
20601701,1
15065144,1
215727049,1
30204606,1
19250724,1
131191495,1
215011243,1
417755447,1
500812643,1
195274426,1
428079373,1
383813140,1
197356608,1
16981655,1
52644244,1
432371925,1
91202815,1
468251435,1
76295641,1
242900272,1
42378645,1
16453154,1
278556320,1
82454194,1
168610595,1
134928398,1
196041155,1
262088835,1
156910928,1
386979388,1
19746105,1
11475702,1
68645097,1
37196946,1
16616211,1
216302166,1
31149779,1
48287485,1
252500402,1
385326432,1
386069650,1
16810137,1
129322390,1
242046072,1
408358228,1
393594067,1
26220750,1
378131844,1
380831472,1
10136062,1
59739026,1
229141370,1
7341532,1
183529880,1
338331168,1
131844997,1
277380380,1
335128505,1
128554382,1
128627693,1
20753194,1
258856900,1
35698283,1
237648082,1
296757055,1
15735767,1
17647778,1
16840882,1
272061718,1
264981143,1
5952682,1
15067268,1
30699868,1
245967134,1
44161500,1
127958577,1
96510827,1
104448378,1
15192927,1
14206457,1
215330873,1
195271984,1
218807089,1
95265565,1
221696846,1
221564323,1
61514007,1
8039442,1
112474129,1
15308080,1
94341997,1
23061856,1
181496773,1
14160315,1
102918775,1
183539573,1
14855950,1
18269149,1
81130517,1
3735971,1
163513128,1
28628856,1
17236488,1
153771635,1
36365161,1
15148858,1
32844548,1
91935208,1
92528966,1
61156334,1
137306919,1
11155602,1
20609518,12
1521501,1
120453397,1
16736293,3
14077885,1
63106248,1
79179041,1
14175868,1
14829970,1
90416737,1
96536476,1
17442437,1
13904112,1
96720435,1
94780912,1
36325507,1
75808267,1
15756699,1
71067712,1
15288134,1
14250157,1
49899236,1
16837205,1
71764519,1
16093362,1
55646789,1
14316812,1
19978241,1
7602792,1
40061523,1
1055311,1
16134929,1
22779947,1
16387593,1
19067641,1
19530014,1
9028622,1
46612022,1
44089773,1
24210732,1
54506692,1
57584190,1
41572751,1
42730080,1
62247414,1
37528765,1
52811654,1
15661871,1
29023443,1
42050804,1
40246326,1
38629776,1
16449752,1
14260618,1
16727535,2
25751143,1
15855428,1
27879341,1
21015156,1
26284859,1
33901869,1
15734350,1
38474287,1
16308475,1
14671409,1
16683129,1
32835206,1
23422857,1
18795937,1
18138546,1
33819490,1
32841891,1
14258043,1
14596669,1
24858780,1
39973815,1
2655304452,1
1060217388078129153,1
2904739781,1
239509917,2
151967576,2
298775981,1
525558505,1
340613443,3
118990336,1
489730571,1
323629046,1
278730367,1
714367610,1
29645502,1
881502254,1
707883859,1
14982804,4
1490605568,1
14642495,5
474154291,1
4898541905,1
617825073,1
39300243,1
817862392583454723,1
1223772796674871302,1
850991887,1
1249097563736858625,1
13784182,1
16014397,1
512069390,1
41464033,1
48127433,1
1196937733878505473,1
3139780242,1
1135617816957247488,1
1148656722,1
38091534,1
339219479,1
14499829,4
1009236599274594304,1
36393147,1
35785221,1
811414973985550336,1
39263607,1
38183074,1
1155845777039810560,1
2490585386,1
1247718742718627840,1
14871898,1
28392610,1
605846173,1
29985126,1
21956289,1
1118264757482590209,1
1127462157250113536,1
2575491307,1
800785673095553024,1
757492864628629504,1
324687243,1
2847406330,1
160066868,1
1225032557676331010,1
1112046201816449025,1
731291979942903808,1
703052849039675393,1
1233681519966900224,1
1203659735335100417,1
4771249940,1
1189294171854647298,1
1179363977555533825,1
894948936716361732,1
867603654680989696,1
86751291,1
138044104,1
2695143194,1
1016843309166350336,1
2508289176,1
1138426187271823365,1
3289440085,1
877643434152087552,1
940761960215228417,1
164196567,1
1229462912529567747,1
3101759701,1
15906232,1
19886859,1
48809150,1
3420240124,1
2707096646,1
1122669595696029698,1
61104605,1
32902246,1
462132863,1
1146645420099215361,1
2172596028,2
1184609650634833920,1
3357427702,1
307984677,1
258871381,1
1089104733044948993,1
97045392,1
1634248890,1
6606522,1
1231434213670445056,1
1146149208598228993,1
757784161163747332,1
21972094,1
4087314257,1
993581600100282368,1
1227657251835580417,1
1683515731,1
389148144,1
550969754,1
1411800175,1
961092786,1
2681393274,1
2847603597,1
402533167,1
1067293117,1
476193064,1
1208321980027547649,1
268342668,1
986009346160050176,1
2736331149,1
553583715,1
1226458704234418176,1
1217526022482075649,1
888362829983621120,1
1220467064709582848,1
27167333,1
24737799,1
3067246520,1
820032538122948608,1
962738614353514496,1
604940737,1
51546100,1
28855275,1
1040394308,1
408806531,1
121360627,1
171546615,1
1895019655,1
96149284,1
875808617374547969,1
898995330,1
871711831152369667,1
950848651009708032,1
724618367290757120,1
120006892,1
1044638202198278145,1
940774360465383424,1
